Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,componentnumber,strongcompnum,pageranks,Clustering Coefficient
56,56,,6,7,13,6,0.333352,0.352913,5109.594363,0.547619,0,1115,0.000159,0.571429
66,66,,1,1,2,7,0.263566,0.272771,0,0,0,1115,0.000052,0
69,69,,9,7,16,7,0.296146,0.315409,17484.22666,0.069444,0,1115,0.000358,0.111111
70,70,,6,6,12,7,0.311345,0.330362,3325.621509,0.233333,0,1115,0.000152,0.266667
71,71,,1,1,2,6,0.295085,0.305292,0,0,0,1115,0.000055,0
72,72,,11,11,22,7,0.288079,0.300164,20723.56654,0.106061,0,1115,0.000295,0.106061
74,74,,1,1,2,6,0.295085,0.305292,0,0,0,1115,0.000055,0
75,75,,10,7,17,6,0.307547,0.320634,15607.47864,0.181818,0,1115,0.000445,0.227273
68,68,,5,5,10,6,0.309254,0.322022,9215.993342,0.6,0,1115,0.000155,0.6
64,64,,69,78,147,6,0.34528,0.367596,260314.7581,0.043304,0,1115,0.001654,0.049452
76,76,,3,3,6,6,0.301863,0.313908,0,1,0,1115,0.000101,1
77,77,,14,21,35,6,0.307611,0.32064,17441.02529,0.110507,0,1115,0.000376,0.144928
78,78,,10,8,18,6,0.306917,0.320101,3016.025918,0.288889,0,1115,0.000252,0.288889
60,60,,66,63,129,6,0.321814,0.340401,186722.4375,0.038018,0,1115,0.001925,0.046847
79,79,,1,1,2,7,0.29281,0.311154,0,0,0,1115,0.000052,0
80,80,,17,17,34,6,0.288491,0.302707,21796.43893,0.097368,0,1115,0.00042,0.121053
81,81,,9,6,15,6,0.297927,0.308801,1959.906321,0.152778,0,1115,0.000247,0.166667
62,62,,52,14,66,6,0.295682,0.308806,40999.60567,0.079186,0,1115,0.00114,0.095023
83,83,,1,1,2,7,0.273258,0.282685,0,0,0,1115,0.000055,0
104,104,,54,56,110,6,0.361479,0.384921,230744.9643,0.062842,0,1115,0.001336,0.068852
86,86,,1,1,2,7,0.273258,0.282685,0,0,0,1115,0.000055,0
87,87,,2,2,4,7,0.267227,0.277503,95.216074,0,0,1115,0.000078,0
89,89,,2,2,4,6,0.292342,0.304309,0,1,0,1115,0.000077,1
94,94,,1,1,2,7,0.256671,0.264883,0,0,0,1115,0.000053,0
95,95,,6,6,12,7,0.295637,0.314371,9197.186667,0.142857,0,1115,0.00021,0.142857
96,96,,37,42,79,6,0.351971,0.375054,89169.1292,0.0964,0,1115,0.000777,0.102207
97,97,,4,4,8,7,0.245302,0.251917,10762.97938,0,0,1115,0.000186,0
99,99,,1,1,2,8,0.228491,0.236717,0,0,0,1115,0.000078,0
88,88,,6,7,13,6,0.288448,0.301325,11176.94693,0.107143,0,1115,0.000182,0.107143
101,101,,7,5,12,6,0.295428,0.306033,15222.0255,0.041667,0,1115,0.000317,0.055556
100,100,,8,12,20,6,0.321601,0.338586,6791.588726,0.265152,0,1115,0.000215,0.272727
103,103,,1,0,1,0,0,0,0,0,0,203,0.000089,0
105,105,,2,1,3,7,0.273258,0.282685,0,1,0,1115,0.000059,1
106,106,,1,1,2,7,0.260351,0.269107,0,0,0,1115,0.000051,0
107,107,,2,2,4,7,0.261843,0.27075,27.435392,0,0,1115,0.000086,0
108,108,,6,4,10,6,0.28699,0.299379,382.529505,0.3,0,1115,0.000184,0.333333
109,109,,6,5,11,6,0.28156,0.293305,6891.425365,0.261905,0,1115,0.000187,0.285714
110,110,,15,12,27,6,0.312293,0.325818,3648.122575,0.285714,0,1115,0.000346,0.295238
111,111,,6,5,11,6,0.305858,0.31802,1276.218537,0.3,0,1115,0.000139,0.333333
112,112,,14,26,40,6,0.314122,0.32828,27143.59482,0.058462,0,1115,0.000332,0.076923
115,115,,24,32,56,6,0.3312,0.351288,60400.85015,0.121951,0,1115,0.000486,0.162602
114,114,,9,6,15,6,0.298535,0.309331,6157.08444,0.180556,0,1115,0.000249,0.194444
119,119,,3,3,6,6,0.295145,0.30552,1357.305482,0.083333,0,1115,0.000123,0.166667
122,122,,1,2,3,6,0.278821,0.290142,0,1,0,1115,0.000057,1
127,127,,3,2,5,7,0.241833,0.248259,67.813167,0.333333,0,1115,0.000118,0.333333
129,129,,6,2,8,7,0.257837,0.266628,44.951188,0.233333,0,1115,0.000151,0.266667
116,116,,1,1,2,6,0.278702,0.289925,0,0,0,1115,0.000057,0
131,131,,1,0,1,0,0,0,0,0,0,204,0.00005,0
132,132,,32,32,64,6,0.318901,0.334599,38034.29016,0.106061,0,1115,0.000954,0.11943
133,133,,2,2,4,6,0.307482,0.320255,964.817156,0,0,1115,0.000072,0
113,113,,36,42,78,6,0.335167,0.353332,91609.35179,0.070267,0,1115,0.000914,0.078978
125,125,,8,8,16,6,0.308163,0.320984,11288.73342,0.333333,0,1115,0.000207,0.388889
135,135,,93,92,185,6,0.36101,0.384986,255728.2613,0.064636,0,1115,0.001747,0.082213
134,134,,12,11,23,6,0.308114,0.321874,10567.09761,0.198718,0,1115,0.000341,0.205128
137,137,,2,2,4,6,0.292342,0.304309,0,1,0,1115,0.000077,1
138,138,,2,2,4,6,0.295667,0.306165,0,1,0,1115,0.00008,1
140,140,,1,1,2,7,0.273258,0.282685,0,0,0,1115,0.000055,0
141,141,,21,21,42,6,0.329558,0.347435,45654.32565,0.090909,0,1115,0.000539,0.103896
139,139,,3,4,7,6,0.301117,0.312568,4763.505838,0.416667,0,1115,0.000103,0.5
142,142,,11,11,22,6,0.291831,0.305583,11428.21677,0.218182,0,1115,0.000298,0.236364
143,143,,20,22,42,6,0.331238,0.351992,37925.81252,0.112319,0,1115,0.000526,0.126812
144,144,,41,43,84,6,0.322506,0.339515,86388.86395,0.063131,0,1115,0.001102,0.069697
145,145,,1,1,2,6,0.295085,0.305292,0,0,0,1115,0.000055,0
146,146,,15,15,30,6,0.321248,0.337132,51861.71191,0.0625,0,1115,0.000431,0.066667
147,147,,3,2,5,7,0.273284,0.282799,906.277588,0.333333,0,1115,0.000194,0.333333
148,148,,5,5,10,7,0.276214,0.286669,21373.33506,0.1,0,1115,0.000244,0.1
93,93,,13,12,25,6,0.304045,0.315911,13858.00501,0.058333,0,1115,0.000331,0.066667
149,149,,28,36,64,6,0.338661,0.360343,41439.08215,0.096728,0,1115,0.000733,0.118065
150,150,,3,5,8,6,0.287512,0.298555,270.207347,0.1,0,1115,0.000105,0.1
152,152,,10,3,13,7,0.238596,0.244839,11496.30475,0.090909,0,1115,0.000384,0.109091
153,153,,6,4,10,6,0.288747,0.301579,139.211578,0.533333,0,1115,0.000163,0.533333
154,154,,1,1,2,8,0.192641,0.195865,0,0,0,1115,0.000144,0
155,155,,2,3,5,6,0.279742,0.29133,108.116211,0.333333,0,1115,0.000081,0.333333
156,156,,7,7,14,6,0.307337,0.320329,857.633811,0.375,0,1115,0.000178,0.428571
157,157,,2,2,4,7,0.27476,0.284643,0,1,0,1115,0.000081,1
158,158,,3,1,4,7,0.251041,0.258046,21.792821,0.333333,0,1115,0.000102,0.333333
160,160,,7,7,14,6,0.301381,0.313928,2596.64967,0.047619,0,1115,0.000179,0.047619
161,161,,3,3,6,6,0.282335,0.294004,131.959743,0.333333,0,1115,0.000097,0.333333
162,162,,2,2,4,7,0.27476,0.284643,0,1,0,1115,0.000081,1
163,163,,8,9,17,7,0.299544,0.31163,5589.977757,0.083333,0,1115,0.000199,0.111111
165,165,,2,1,3,6,0.295085,0.305292,102.472739,0.5,0,1115,0.000076,1
166,166,,13,13,26,6,0.292737,0.306321,10151.54502,0.131868,0,1115,0.000393,0.153846
167,167,,11,10,21,7,0.283691,0.295898,3018.542955,0.203297,0,1115,0.000249,0.274725
168,168,,1,1,2,7,0.273258,0.282685,0,0,0,1115,0.000055,0
169,169,,2,1,3,7,0.241803,0.248117,26.170809,0,0,1115,0.000083,0
170,170,,1,1,2,7,0.225914,0.231955,0,0,0,1115,0.000058,0
171,171,,50,53,103,6,0.34876,0.370127,115810.9386,0.060797,0,1115,0.001066,0.07058
172,172,,1,1,2,7,0.243474,0.250645,0,0,0,1115,0.000061,0
173,173,,4,3,7,7,0.266436,0.276159,42.468256,0.083333,0,1115,0.000108,0.166667
174,174,,4,4,8,7,0.283567,0.294706,261.519982,0.25,0,1115,0.000114,0.333333
175,175,,1,1,2,6,0.278702,0.289925,0,0,0,1115,0.000057,0
176,176,,3,4,7,6,0.26223,0.272335,4864.672723,0.166667,0,1115,0.000098,0.166667
177,177,,9,10,19,6,0.310124,0.322375,8074.954624,0.1,0,1115,0.000221,0.127273
178,178,,34,37,71,6,0.331369,0.348202,102176.1422,0.070513,0,1115,0.00088,0.088462
179,179,,7,2,9,7,0.235237,0.240963,267.987708,0.142857,0,1115,0.000265,0.190476
180,180,,10,9,19,6,0.32304,0.338537,23795.87217,0.111111,0,1115,0.000277,0.133333
181,181,,6,5,11,7,0.272634,0.28317,1088.978621,0.233333,0,1115,0.000162,0.266667
159,159,,24,24,48,6,0.307935,0.323478,92625.00182,0.049858,0,1115,0.000777,0.05698
182,182,,1,1,2,8,0.21644,0.221289,0,0,0,1115,0.000076,0
183,183,,3,3,6,7,0.251181,0.259885,56.418223,0,0,1115,0.000107,0
184,184,,19,23,42,6,0.332651,0.350048,25253.54535,0.109231,0,1115,0.000429,0.126154
185,185,,2,2,4,6,0.278821,0.290168,141.622022,0,0,1115,0.000082,0
186,186,,12,11,23,7,0.308098,0.327758,16411.4872,0.05303,0,1115,0.000318,0.060606
187,187,,1,1,2,7,0.265264,0.273819,0,0,0,1115,0.000051,0
33,33,,32,32,64,6,0.361747,0.385203,59625.70854,0.216856,0,1115,0.000641,0.242424
188,188,,2,2,4,6,0.309271,0.32388,1003.252446,0,0,1115,0.000079,0
189,189,,3,2,5,7,0.275304,0.284954,58.001834,0.333333,0,1115,0.000091,0.333333
190,190,,1,1,2,7,0.265516,0.27417,0,0,0,1115,0.000055,0
191,191,,3,2,5,7,0.265577,0.274341,1492.202964,0.333333,0,1115,0.000133,0.333333
192,192,,17,18,35,6,0.33586,0.354221,7701.652314,0.219203,0,1115,0.000277,0.282609
193,193,,2,2,4,6,0.280466,0.292354,0,1,0,1115,0.000083,1
194,194,,3,3,6,7,0.257021,0.26547,944.876399,0.166667,0,1115,0.00015,0.333333
195,195,,1,1,2,6,0.278702,0.289925,0,0,0,1115,0.000057,0
196,196,,1,1,2,7,0.228215,0.233991,0,0,0,1115,0.000104,0
198,198,,50,45,95,6,0.313852,0.330746,90864.65976,0.047059,0,1115,0.001513,0.055686
199,199,,4,6,10,7,0.295533,0.307654,6633.801041,0.133333,0,1115,0.00018,0.133333
200,200,,7,8,15,6,0.301848,0.315039,2095.465816,0.138889,0,1115,0.000169,0.194444
201,201,,4,2,6,7,0.228464,0.234959,226.055357,0,0,1115,0.000161,0
202,202,,115,127,242,5,0.351189,0.378038,521204.8405,0.03045,0,1115,0.003346,0.033834
203,203,,9,10,19,6,0.285435,0.298356,8404.834416,0.111111,0,1115,0.000225,0.111111
204,204,,31,24,55,6,0.311993,0.327833,67420.54459,0.055258,0,1115,0.000809,0.069519
205,205,,1,0,1,0,0,0,0,0,0,245,0.000061,0
206,206,,15,15,30,6,0.293074,0.307182,23524.42104,0.1125,0,1115,0.000581,0.125
207,207,,7,6,13,6,0.306483,0.319252,3014.447787,0.047619,0,1115,0.000181,0.047619
209,209,,30,27,57,6,0.319406,0.334693,91940.1302,0.033333,0,1115,0.000862,0.034409
210,210,,1,1,2,6,0.278702,0.289925,0,0,0,1115,0.000057,0
120,120,,6,5,11,6,0.310799,0.323267,35255.05947,0.380952,0,1115,0.000197,0.380952
211,211,,2,1,3,6,0.259923,0.269451,21.300248,0,0,1115,0.000079,0
212,212,,6,6,12,6,0.286892,0.300718,499.839933,0.452381,0,1115,0.000189,0.47619
213,213,,1,1,2,7,0.243474,0.250645,0,0,0,1115,0.000061,0
214,214,,14,12,26,6,0.29513,0.307615,44095.73717,0.071429,0,1115,0.000349,0.076923
215,215,,53,54,107,6,0.359258,0.384416,176303.1248,0.093985,0,1115,0.001299,0.109023
216,216,,9,9,18,6,0.313347,0.327542,23175.5321,0.022222,0,1115,0.000242,0.044444
217,217,,3,3,6,7,0.261258,0.271168,33.601503,0.166667,0,1115,0.000082,0.166667
218,218,,2,1,3,7,0.243474,0.250645,0,1,0,1115,0.000065,1
219,219,,18,18,36,6,0.312527,0.326528,23858.16003,0.077075,0,1115,0.00038,0.086957
220,220,,1,0,1,0,0,0,0,0,0,191,0.000056,0
223,223,,11,0,11,0,0,0,0,0.281818,0,27,0.000212,0.363636
224,224,,7,8,15,7,0.296747,0.313488,14697.76104,0.178571,0,1115,0.000267,0.178571
225,225,,3,6,9,6,0.299974,0.311306,7125.928167,0.066667,0,1115,0.000128,0.066667
227,227,,6,6,12,6,0.300221,0.311198,936.711159,0.2,0,1115,0.000174,0.2
228,228,,13,14,27,6,0.308846,0.321919,25853.94308,0.057143,0,1115,0.000377,0.057143
230,230,,32,5,37,6,0.263388,0.274222,34726.26677,0.045455,0,1115,0.000808,0.058712
231,231,,4,4,8,7,0.255572,0.265131,4925.494897,0,0,1115,0.000156,0
232,232,,1,1,2,6,0.278702,0.289925,0,0,0,1115,0.000057,0
233,233,,3,1,4,7,0.226658,0.232765,37.430905,0,0,1115,0.000111,0
208,208,,2,2,4,7,0.245035,0.252561,50.571271,0,0,1115,0.00013,0
234,234,,3,2,5,6,0.295533,0.305948,294.913332,0,0,1115,0.000092,0
235,235,,13,9,22,6,0.290051,0.302545,18737.15224,0.049451,0,1115,0.000404,0.054945
222,222,,13,12,25,6,0.299192,0.312024,18748.54045,0.032051,0,1115,0.000432,0.038462
236,236,,2,3,5,6,0.260804,0.270679,257.972047,0,0,1115,0.000086,0
237,237,,1,1,2,6,0.259923,0.269451,0,0,0,1115,0.000057,0
238,238,,6,8,14,6,0.32021,0.33508,5832.991992,0.089286,0,1115,0.00016,0.107143
239,239,,8,11,19,7,0.296356,0.308697,2231.87634,0.1,0,1115,0.000202,0.109091
240,240,,4,3,7,6,0.284491,0.297096,46.95992,0.5,0,1115,0.000116,0.5
241,241,,5,7,12,6,0.302864,0.314732,4653.006041,0.125,0,1115,0.00017,0.178571
242,242,,16,14,30,6,0.313062,0.329167,29539.6584,0.058824,0,1115,0.000381,0.071895
244,244,,5,4,9,7,0.258201,0.266965,929.542767,0.133333,0,1115,0.000188,0.133333
164,164,,4,5,9,7,0.25744,0.266392,11001.51176,0,0,1115,0.000153,0
245,245,,11,4,15,7,0.250568,0.258885,12242.9583,0.281818,0,1115,0.000386,0.309091
246,246,,5,3,8,7,0.315358,0.336535,4017.932744,0.2,0,1115,0.000103,0.2
247,247,,1,1,2,6,0.295085,0.305292,0,0,0,1115,0.000055,0
248,248,,2,3,5,7,0.293633,0.312262,2432.255959,0,0,1115,0.000084,0
250,250,,3,2,5,7,0.243514,0.250802,201.043343,0.333333,0,1115,0.000147,0.333333
251,251,,9,8,17,6,0.333219,0.353055,20579.15743,0.291667,0,1115,0.000257,0.333333
249,249,,20,20,40,6,0.298901,0.313007,92487.00196,0.044737,0,1115,0.000868,0.047368
243,243,,9,12,21,6,0.301801,0.31594,11307.78456,0.108974,0,1115,0.000235,0.141026
252,252,,1,1,2,7,0.243474,0.250645,0,0,0,1115,0.000061,0
253,253,,0,1,1,8,0.228209,0.236262,0,0,0,1116,0.000035,0
255,255,,1,2,3,6,0.291656,0.302975,429.787092,0,0,1115,0.000061,0
256,256,,33,32,65,6,0.320473,0.3364,60632.72828,0.040476,0,1115,0.000821,0.047619
257,257,,18,93,111,6,0.318155,0.337261,183711.187,0.010862,0,1115,0.000424,0.012542
258,258,,2,2,4,7,0.266727,0.276506,861.406483,0,0,1115,0.000076,0
259,259,,2,3,5,7,0.238159,0.244184,35.294655,0,0,1115,0.000085,0
260,260,,3,0,3,0,0,0,0,0.333333,0,190,0.000083,0.333333
261,261,,8,7,15,6,0.298703,0.310211,15924.91934,0.107143,0,1115,0.000237,0.107143
262,262,,7,6,13,7,0.254206,0.262968,2186.325807,0.095238,0,1115,0.000194,0.142857
263,263,,2,2,4,7,0.236455,0.242325,0,1,0,1115,0.000136,1
264,264,,2,0,2,0,0,0,0,1,0,186,0.000065,1
265,265,,5,3,8,6,0.278383,0.288626,518.075326,0.35,0,1115,0.000117,0.4
266,266,,17,18,35,6,0.308977,0.323213,36663.3132,0.065789,0,1115,0.000472,0.068421
267,267,,1,1,2,7,0.29281,0.311154,0,0,0,1115,0.000052,0
268,268,,5,5,10,7,0.271319,0.281808,830.680759,0.033333,0,1115,0.000145,0.066667
229,229,,4,3,7,7,0.269394,0.279771,1360.006691,0.25,0,1115,0.000125,0.333333
221,221,,8,8,16,6,0.283966,0.297045,1000.157917,0.166667,0,1115,0.000228,0.166667
269,269,,5,4,9,6,0.278981,0.290515,212.196506,0.166667,0,1115,0.000135,0.2
271,271,,2,2,4,6,0.300545,0.311668,30.505838,0.5,0,1115,0.000077,1
272,272,,12,9,21,6,0.294017,0.307082,2164.700916,0.075758,0,1115,0.00028,0.090909
273,273,,25,27,52,6,0.303257,0.319143,35691.74933,0.045567,0,1115,0.000656,0.054187
274,274,,21,17,38,6,0.316074,0.332185,32729.46743,0.070652,0,1115,0.000523,0.09058
275,275,,2,1,3,7,0.247881,0.255039,4.564609,0,0,1115,0.000061,0
276,276,,6,5,11,7,0.255293,0.264605,371.781906,0.133333,0,1115,0.000165,0.133333
270,270,,37,47,84,6,0.345015,0.366091,143387.5764,0.070153,0,1115,0.000967,0.085034
277,277,,2,1,3,7,0.256525,0.264513,21.268346,0,0,1115,0.000056,0
279,279,,2,1,3,7,0.243474,0.250645,0,1,0,1115,0.000065,1
278,278,,4,3,7,6,0.263673,0.274339,10856.39326,0.3,0,1115,0.000129,0.3
280,280,,58,59,117,6,0.356064,0.380985,227526.9475,0.044421,0,1115,0.001387,0.047594
281,281,,1,0,1,0,0,0,0,0,0,569,0.000055,0
282,282,,6,5,11,7,0.266959,0.277394,21306.17531,0,0,1115,0.000281,0
283,283,,15,13,28,6,0.294491,0.308065,7050.244398,0.071429,0,1115,0.000406,0.07619
284,284,,8,10,18,7,0.281818,0.294057,9021.177087,0.044444,0,1115,0.000204,0.088889
285,285,,6,6,12,6,0.286695,0.299413,7773.530428,0.3,0,1115,0.000267,0.333333
286,286,,2,2,4,6,0.260502,0.270377,67.132972,0,0,1115,0.000078,0
287,287,,1,1,2,7,0.242706,0.249089,0,0,0,1115,0.000057,0
288,288,,7,7,14,6,0.282226,0.29532,2883.375206,0.160714,0,1115,0.000177,0.178571
290,290,,1,1,2,7,0.264316,0.273702,0,0,0,1115,0.000055,0
291,291,,1,1,2,8,0.20037,0.204543,0,0,0,1115,0.000117,0
292,292,,2,1,3,6,0.259923,0.269451,40.37009,0,0,1115,0.000078,0
293,293,,6,4,10,6,0.280318,0.292123,335.229045,0.238095,0,1115,0.0002,0.333333
294,294,,1,1,2,6,0.278702,0.289925,0,0,0,1115,0.000057,0
295,295,,21,24,45,6,0.300113,0.31376,37500.9322,0.038333,0,1115,0.000593,0.046667
296,296,,6,1,7,6,0.278702,0.289925,223.658203,0.266667,0,1115,0.000179,0.266667
297,297,,3,2,5,7,0.23815,0.243983,46.580329,0.166667,0,1115,0.000092,0.333333
298,298,,10,8,18,7,0.26243,0.271034,23994.11192,0,0,1115,0.000395,0
299,299,,2,2,4,7,0.243992,0.251417,388.301482,0,0,1115,0.000103,0
301,301,,4,4,8,6,0.271319,0.282384,6191.136718,0.166667,0,1115,0.000196,0.166667
302,302,,1,0,1,0,0,0,0,0,0,521,0.000059,0
303,303,,1,1,2,7,0.265264,0.273819,0,0,0,1115,0.000051,0
304,304,,100,104,204,6,0.379149,0.408011,434288.049,0.071439,0,1115,0.002198,0.082459
254,254,,4,5,9,6,0.282267,0.294616,1161.181749,0.266667,0,1115,0.0001,0.266667
305,305,,1,1,2,8,0.210716,0.215669,0,0,0,1115,0.000083,0
306,306,,1,1,2,8,0.210716,0.215669,0,0,0,1115,0.000083,0
307,307,,2,1,3,7,0.226658,0.232765,2.131785,0,0,1115,0.00009,0
308,308,,13,11,24,6,0.32516,0.339546,6156.340912,0.185897,0,1115,0.000278,0.217949
309,309,,34,45,79,6,0.347847,0.369636,99143.28043,0.132143,0,1115,0.000684,0.164286
310,310,,7,4,11,6,0.28438,0.297022,1282.683536,0.236111,0,1115,0.000157,0.277778
311,311,,1,1,2,6,0.295085,0.305292,0,0,0,1115,0.000055,0
312,312,,11,12,23,6,0.31424,0.327055,7458.898459,0.083333,0,1115,0.000288,0.102564
314,314,,2,2,4,6,0.281059,0.293482,924.474832,0,0,1115,0.000061,0
313,313,,2,3,5,7,0.275459,0.285518,337.942807,0,0,1115,0.000074,0
315,315,,2,0,2,0,0,0,0,0,0,202,0.000111,0
316,316,,2,2,4,7,0.261644,0.271003,145.062581,0,0,1115,0.000076,0
317,317,,4,4,8,7,0.271092,0.281863,564.635034,0,0,1115,0.000121,0
318,318,,4,6,10,7,0.281736,0.292421,782.533251,0.166667,0,1115,0.000106,0.266667
319,319,,8,8,16,7,0.266825,0.27712,18265.04387,0,0,1115,0.000297,0
320,320,,5,5,10,6,0.29779,0.30902,4237.0594,0.233333,0,1115,0.000133,0.266667
322,322,,8,11,19,6,0.328336,0.348757,32385.73417,0.174242,0,1115,0.000233,0.19697
323,323,,1,1,2,7,0.230127,0.236158,0,0,0,1115,0.000072,0
324,324,,5,5,10,6,0.303761,0.315359,3834.185969,0.35,0,1115,0.000162,0.4
325,325,,11,12,23,6,0.301133,0.31197,5212.833029,0.05303,0,1115,0.00036,0.060606
326,326,,1,1,2,6,0.278702,0.289925,0,0,0,1115,0.000057,0
321,321,,6,5,11,6,0.276855,0.288677,385.629006,0.266667,0,1115,0.000156,0.333333
327,327,,1,1,2,7,0.240174,0.24683,0,0,0,1115,0.000061,0
328,328,,3,1,4,7,0.245735,0.252386,335.305711,0.166667,0,1115,0.000088,0.333333
329,329,,1,1,2,7,0.247189,0.255473,0,0,0,1115,0.000053,0
334,334,,1,0,1,0,0,0,0,0,0,195,0.000039,0
338,338,,1,0,1,0,0,0,0,0,0,194,0.000039,0
345,345,,4,4,8,6,0.281519,0.293342,734.374311,0,0,1115,0.000125,0
346,346,,22,25,47,6,0.303887,0.318209,63724.38589,0.025,0,1115,0.000626,0.026667
289,289,,1,1,2,6,0.259923,0.269451,0,0,0,1115,0.000057,0
347,347,,8,4,12,6,0.272787,0.284291,2176.768815,0.035714,0,1115,0.000217,0.035714
349,349,,1,1,2,7,0.230127,0.236158,0,0,0,1115,0.000072,0
340,340,,6,5,11,6,0.272393,0.282307,3019.07096,0.035714,0,1115,0.00015,0.035714
336,336,,1,0,1,0,0,0,0,0,0,193,0.000039,0
350,350,,28,27,55,6,0.338485,0.359567,50805.94331,0.121693,0,1115,0.000681,0.140212
352,352,,1,2,3,7,0.26359,0.272885,10.223826,0,0,1115,0.000052,0
353,353,,85,86,171,6,0.391537,0.418114,375755.4893,0.106307,0,1115,0.001765,0.123507
354,354,,1,1,2,6,0.278702,0.289925,0,0,0,1115,0.000057,0
355,355,,1,1,2,7,0.265264,0.273819,0,0,0,1115,0.000051,0
356,356,,4,4,8,6,0.303571,0.314931,10609.50584,0.416667,0,1115,0.000155,0.5
357,357,,4,3,7,7,0.239437,0.246198,605.704946,0,0,1115,0.000131,0
359,359,,12,11,23,6,0.274954,0.288831,24587.99425,0.095833,0,1115,0.000264,0.116667
339,339,,2,3,5,7,0.250257,0.259207,489.119005,0.333333,0,1115,0.000071,0.333333
360,360,,2,1,3,7,0.222823,0.228514,5.66679,0,0,1115,0.000077,0
366,366,,5,7,12,7,0.28962,0.301315,5572.926072,0.071429,0,1115,0.000153,0.095238
367,367,,1,1,2,7,0.230127,0.236158,0,0,0,1115,0.000072,0
368,368,,1,1,2,6,0.278702,0.289925,0,0,0,1115,0.000057,0
