AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
3.069596443,9.772576148,0.325775723,0.066998893,6,68,35,FALSE,29,50.65116279,33,25,FALSE,0,29,3766732124
3.365937073,0,0.297094087,1,6,4,2,FALSE,31,166,2,2,FALSE,0,31,0
3.18997948,0.187683961,0.31348164,0.266666667,6,12,6,FALSE,32,128.8333333,6,6,FALSE,0,32,100109453
3.221443228,0,0.310419874,1,6,6,3,FALSE,34,239.3333333,3,3,FALSE,0,34,0
2.415355677,440.5522429,0.414017699,0.003057523,6,1298,535,FALSE,35,11.94968553,763,503,FALSE,0,35,1.89E+11
2.969904241,17.61746083,0.336711193,0.0503003,6,68,33,FALSE,36,53.7027027,35,31,FALSE,0,36,5229062731
3.272229822,2.087207844,0.305602007,0.044871795,7,25,12,FALSE,37,41.84615385,13,12,FALSE,0,37,703009496
4.029582763,0.008710672,0.248164651,0.333333333,7,5,3,FALSE,44,50.33333333,2,2,FALSE,0,44,4823215
3.156121751,6.472468432,0.316844558,0.115384615,6,50,25,FALSE,39,44.66666667,25,23,FALSE,0,39,2338012167
3.573016416,0.851343817,0.279875568,0.038461538,6,22,11,FALSE,45,18.38461538,11,9,FALSE,0,45,329502007
3.168091655,1.264115881,0.315647433,0.128787879,6,22,10,FALSE,19,83.66666667,12,10,FALSE,0,19,653668789
3.969733242,0,0.251906095,0,7,2,1,FALSE,46,37,1,1,FALSE,0,46,0
3.312927497,0,0.301847837,1,6,4,2,FALSE,47,251.5,2,2,FALSE,0,47,0
3.059849521,4.955284748,0.326813457,0.095698925,6,59,29,FALSE,51,50.16129032,30,28,FALSE,0,51,2084086939
4.069425445,0,0.245734936,0,7,2,1,FALSE,52,43,1,1,FALSE,0,52,0
3.586183311,0.022641382,0.278847988,0,6,4,2,FALSE,53,126,2,2,FALSE,0,53,14390421
3.215458276,0.466443542,0.31099766,0.404761905,6,14,7,FALSE,54,120.2857143,7,7,FALSE,0,54,207740830
2.659712722,58.55118321,0.375980455,0.05806206,6,195,95,FALSE,41,57.21359223,100,92,FALSE,0,41,24281036395
3.588064295,0,0.278701806,0,6,2,1,FALSE,55,239,1,1,FALSE,0,55,0
2.705540356,15.10105864,0.369611933,0.143430866,6,139,80,FALSE,57,89.04761905,59,55,FALSE,0,57,8933765243
3.741108071,0.063876562,0.267300485,0.227272727,7,14,9,FALSE,61,63.63636364,5,3,FALSE,0,61,36630129
3.415184679,0,0.292809934,0,7,2,1,FALSE,65,795,1,1,FALSE,0,65,0
2.999829001,0.641240848,0.333352334,0.547619048,6,13,6,FALSE,56,246.4285714,7,6,FALSE,0,56,400101586
3.794117647,0,0.263565891,0,7,2,1,FALSE,66,68,1,1,FALSE,0,66,0
3.376709986,2.291178701,0.29614625,0.069444444,7,16,9,FALSE,69,112.5555556,7,7,FALSE,0,69,971307760
3.211867305,0.369358952,0.311345365,0.233333333,7,12,6,FALSE,70,175.3333333,6,6,FALSE,0,70,229364605
3.388850889,0,0.295085276,0,6,2,1,FALSE,71,264,1,1,FALSE,0,71,0
3.47127223,2.772417911,0.288078818,0.106060606,7,22,11,FALSE,72,48.16666667,11,10,FALSE,0,72,989917303
3.388850889,0,0.295085276,0,6,2,1,FALSE,74,264,1,1,FALSE,0,74,0
3.251538988,2.513171465,0.307546674,0.181818182,6,17,10,FALSE,75,84.25,7,5,FALSE,0,75,818915371
3.233584131,1.234816772,0.309254363,0.6,6,10,5,FALSE,68,139.4,5,5,FALSE,0,68,359079213
2.89620383,31.49766121,0.345279565,0.043303929,6,147,69,FALSE,64,42.68965517,78,60,FALSE,0,64,14090890928
3.312756498,0,0.301863418,1,6,6,3,FALSE,76,172.6666667,3,3,FALSE,0,76,0
3.250854993,1.847377156,0.307611383,0.108695652,6,35,14,FALSE,77,34.5,21,11,FALSE,0,77,684556382
3.258207934,0.346468555,0.306917183,0.288888889,6,18,10,FALSE,78,79.2,8,8,FALSE,0,78,141319179
3.107387141,25.24515771,0.321813779,0.038018018,6,129,66,FALSE,60,24.8,63,54,FALSE,0,60,8753502803
3.415184679,0,0.292809934,0,7,2,1,FALSE,79,795,1,1,FALSE,0,79,0
3.466313269,2.695926253,0.288490948,0.097368421,6,34,17,FALSE,80,52.8,17,14,FALSE,0,80,1264831690
3.356532148,0.272453759,0.297926537,0.152777778,6,15,9,FALSE,81,47.55555556,6,6,FALSE,0,81,127358223
3.382010944,4.572971862,0.295682071,0.07918552,6,66,52,FALSE,62,59.78846154,14,14,FALSE,0,62,1760468429
3.659541724,0,0.273258259,0,7,2,1,FALSE,83,103,1,1,FALSE,0,83,0
2.766415869,26.55059325,0.361478551,0.06284153,6,110,54,FALSE,104,61.36065574,56,49,FALSE,0,104,10828285060
3.659541724,0,0.273258259,0,7,2,1,FALSE,86,103,1,1,FALSE,0,86,0
3.742134063,0.014433083,0.267227198,0,7,4,2,FALSE,87,71.5,2,2,FALSE,0,87,8125634
3.420656635,0,0.292341532,1,6,4,2,FALSE,89,171,2,2,FALSE,0,89,0
3.896032832,0,0.256671348,0,7,2,1,FALSE,94,87,1,1,FALSE,0,94,0
3.38252394,1.416300305,0.295637228,0.142857143,7,12,6,FALSE,95,118.8571429,6,5,FALSE,0,95,587885241
2.841142271,8.304879794,0.35197111,0.096399535,6,79,37,FALSE,96,74.21428571,42,37,FALSE,0,96,3496187211
4.076607387,1.309845837,0.245302013,0,7,8,4,FALSE,97,6.25,4,4,FALSE,0,97,418444781
4.376538988,0,0.228491053,0,8,2,1,FALSE,99,9,1,1,FALSE,0,99,0
3.466826265,1.349898584,0.288448259,0.107142857,6,13,6,FALSE,88,54.25,7,5,FALSE,0,88,516301675
3.384917921,1.542188209,0.295428138,0.041666667,6,12,7,FALSE,101,39.88888889,5,3,FALSE,0,101,440113943
3.109439124,0.850157014,0.321601408,0.265151515,6,20,8,FALSE,100,109.6666667,12,8,FALSE,0,100,590007448
0,0,0,0,0,1,1,FALSE,103,9,0,0,FALSE,0,103,0
3.659541724,0,0.273258259,1,7,3,2,FALSE,105,99,1,1,FALSE,0,105,0
3.840971272,0,0.260350815,0,7,2,1,FALSE,106,42,1,1,FALSE,0,106,0
3.819083447,0.00349744,0.26184293,0,7,4,2,FALSE,107,25.5,2,2,FALSE,0,107,1438130
3.484439124,0.054602198,0.286990234,0.3,6,10,6,FALSE,108,72.83333333,4,4,FALSE,0,108,27422388
3.551641587,0.699405911,0.281559942,0.261904762,6,11,6,FALSE,109,81.14285714,5,4,FALSE,0,109,208641459
3.202120383,0.382017708,0.312293068,0.285714286,6,27,15,FALSE,110,116.4666667,12,12,FALSE,0,110,233237628
3.269493844,0.144066318,0.305857741,0.3,6,11,6,FALSE,111,133.3333333,5,5,FALSE,0,111,72794576
3.183481532,3.002963235,0.314121502,0.058461538,6,40,14,FALSE,112,35.92307692,26,14,FALSE,0,112,1118965895
3.019322845,4.306619182,0.331200091,0.12195122,6,56,24,FALSE,115,64.19047619,32,14,FALSE,0,115,1756178648
3.349692202,0.604800889,0.298534892,0.180555556,6,15,9,FALSE,114,49.22222222,6,6,FALSE,0,114,195690671
3.388166895,0.212670842,0.295144847,0.083333333,6,6,3,FALSE,119,100.75,3,2,FALSE,0,119,79314577
3.586525308,0,0.278821398,1,6,3,1,FALSE,122,124.5,2,1,FALSE,0,122,0
4.135088919,0.00920509,0.241832768,0.333333333,7,5,3,FALSE,127,55.33333333,2,2,FALSE,0,127,1514890
3.878419973,0.005046355,0.257836956,0.233333333,7,8,6,FALSE,129,83.33333333,2,2,FALSE,0,129,2579204
3.588064295,0,0.278701806,0,6,2,1,FALSE,116,239,1,1,FALSE,0,116,0
0,0,0,0,0,1,1,FALSE,131,24,0,0,FALSE,0,131,0
3.135772914,5.376259343,0.318900643,0.106060606,6,64,32,FALSE,132,40.14705882,32,30,FALSE,0,132,1945777243
3.252222982,0.106214004,0.307481992,0,6,4,2,FALSE,133,266,2,2,FALSE,0,133,132253404
2.983584131,10.33505289,0.335167354,0.070267131,6,78,36,FALSE,113,52.9047619,42,36,FALSE,0,113,4852166657
3.24504104,1.359861747,0.308162513,0.333333333,6,16,8,FALSE,125,96.66666667,8,7,FALSE,0,125,411945224
2.77000684,25.90267362,0.361009939,0.064565826,6,185,93,FALSE,135,55.1,92,65,FALSE,0,135,12322825057
3.245554036,1.214430519,0.308113804,0.198717949,6,23,12,FALSE,134,71.76923077,11,10,FALSE,0,134,496649304
3.420656635,0,0.292341532,1,6,4,2,FALSE,137,171,2,2,FALSE,0,137,0
3.382181943,0,0.295667122,1,6,4,2,FALSE,138,149,2,2,FALSE,0,138,0
3.659541724,0,0.273258259,0,7,2,1,FALSE,140,103,1,1,FALSE,0,140,0
3.034370725,6.159786629,0.329557622,0.090909091,6,42,21,FALSE,141,73.77272727,21,20,FALSE,0,141,2577618013
3.320964432,0.437620772,0.301117347,0.416666667,6,7,3,FALSE,139,106.75,4,3,FALSE,0,139,115417840
3.426641587,1.531126148,0.29183093,0.218181818,6,22,11,FALSE,142,50.90909091,11,11,FALSE,0,142,630501246
3.018980848,4.492203551,0.33123761,0.112318841,6,42,20,FALSE,143,75.95833333,22,18,FALSE,0,143,1691646033
3.100718194,11.26688239,0.322505928,0.063131313,6,84,41,FALSE,144,36.8,43,39,FALSE,0,144,4829977448
3.388850889,0,0.295085276,0,6,2,1,FALSE,145,264,1,1,FALSE,0,145,0
3.112859097,3.675014152,0.321248077,0.0625,6,30,15,FALSE,146,70.5625,15,14,FALSE,0,146,1385173952
3.659199726,0.149777069,0.273283798,0.333333333,7,5,3,FALSE,147,61.66666667,2,2,FALSE,0,147,61946785
3.620383037,2.8112124,0.276213867,0.1,7,10,5,FALSE,148,36.6,5,5,FALSE,0,148,1004064554
3.288987688,1.019360456,0.30404492,0.058333333,6,25,13,FALSE,93,36.3125,12,9,FALSE,0,93,366558624
2.952804378,5.529761324,0.338661107,0.09601707,6,64,28,FALSE,149,66.76315789,36,26,FALSE,0,149,2143784364
3.478112175,0.040702406,0.287512291,0.1,6,8,3,FALSE,150,44,5,3,FALSE,0,150,21111866
4.191176471,1.529095921,0.238596491,0.090909091,7,13,10,FALSE,152,42.81818182,3,2,FALSE,0,152,497806793
3.463235294,0.019990879,0.288747346,0.533333333,6,10,6,FALSE,153,88.83333333,4,4,FALSE,0,153,14591954
5.191005472,0,0.192640907,0,8,2,1,FALSE,154,11,1,1,FALSE,0,154,0
3.574726402,0.015804488,0.279741689,0.333333333,6,5,2,FALSE,155,91.66666667,3,2,FALSE,0,155,6385868
3.25376197,0.080769278,0.307336557,0.375,6,14,7,FALSE,156,111.625,7,6,FALSE,0,156,68455023
3.639534884,0,0.274760383,1,7,4,2,FALSE,157,68.5,2,2,FALSE,0,157,0
3.983413133,0.002851474,0.251040996,0.333333333,7,4,3,FALSE,158,61.33333333,1,1,FALSE,0,158,1674352
3.318057456,0.31327423,0.301381159,0.047619048,6,14,7,FALSE,160,66.71428571,7,7,FALSE,0,160,181575785
3.541894665,0.019828919,0.282334766,0.333333333,6,6,3,FALSE,161,98.33333333,3,3,FALSE,0,161,5354032
3.639534884,0,0.274760383,1,7,4,2,FALSE,162,68.5,2,2,FALSE,0,162,0
3.338406293,0.712916902,0.299544127,0.083333333,7,17,8,FALSE,163,52.22222222,9,8,FALSE,0,163,338771413
3.388850889,0.016145264,0.295085276,0.5,6,3,2,FALSE,165,142,1,1,FALSE,0,165,23732918
3.416039672,1.465061566,0.292736647,0.131868132,6,26,13,FALSE,166,42.35714286,13,12,FALSE,0,166,544387041
3.5249658,0.369912801,0.283690696,0.203296703,7,21,11,FALSE,167,55.5,10,7,FALSE,0,167,150338970
3.659541724,0,0.273258259,0,7,2,1,FALSE,168,103,1,1,FALSE,0,168,0
4.135601915,0.001626035,0.24180277,0,7,3,2,FALSE,169,23,1,1,FALSE,0,169,515896
4.426470588,0,0.225913621,0,7,2,1,FALSE,170,11,1,1,FALSE,0,170,0
2.867305062,14.55385165,0.348759542,0.060796646,6,103,50,FALSE,171,57.12962963,53,49,FALSE,0,171,6952848561
4.107216142,0,0.243473916,0,7,2,1,FALSE,172,75,1,1,FALSE,0,172,0
3.753248974,0.006082021,0.266435829,0.083333333,7,7,4,FALSE,173,39.75,3,3,FALSE,0,173,3293953
3.526504788,0.030411944,0.283566891,0.25,7,8,4,FALSE,174,58.75,4,4,FALSE,0,174,16244313
3.588064295,0,0.278701806,0,6,2,1,FALSE,175,239,1,1,FALSE,0,175,0
3.813440492,0.45220322,0.262230393,0.166666667,6,7,3,FALSE,176,41.25,4,3,FALSE,0,176,166349106
3.224521204,1.048650903,0.310123562,0.1,6,19,9,FALSE,177,67.45454545,10,8,FALSE,0,177,424670251
3.017783858,11.91499186,0.331368994,0.070512821,6,71,34,FALSE,178,52.1,37,31,FALSE,0,178,4834464708
4.251025992,0.029772426,0.235237329,0.142857143,7,9,7,FALSE,179,68.85714286,2,2,FALSE,0,179,15259672
3.095588235,2.769698139,0.32304038,0.111111111,6,19,10,FALSE,180,131.7,9,9,FALSE,0,180,830779721
3.667920657,0.146073884,0.272634033,0.233333333,7,11,6,FALSE,181,46.5,5,5,FALSE,0,181,68314634
3.247435021,11.68559686,0.307935338,0.04985755,6,48,24,FALSE,159,43.96296296,24,21,FALSE,0,159,4484832872
4.620212038,0,0.216440283,0,8,2,1,FALSE,182,5,1,1,FALSE,0,182,0
3.98119015,0.008070235,0.25118117,0,7,6,3,FALSE,183,14,3,3,FALSE,0,183,9716604
3.006155951,2.815833733,0.332650739,0.109230769,6,42,19,FALSE,184,76.19230769,23,16,FALSE,0,184,1185733591
3.586525308,0.017690839,0.278821398,0,6,4,2,FALSE,185,122.5,2,2,FALSE,0,185,6778371
3.245725034,2.073430754,0.308097571,0.053030303,7,23,12,FALSE,186,95.91666667,11,11,FALSE,0,186,726683336
3.769835841,0,0.26526354,0,7,2,1,FALSE,187,120,1,1,FALSE,0,187,0
2.764363885,5.343394851,0.361746876,0.216856061,6,64,32,FALSE,33,118.2727273,32,31,FALSE,0,33,3545859413
3.233413133,0.105052543,0.309270718,0,6,4,2,FALSE,188,338.5,2,2,FALSE,0,188,151408449
3.632352941,0.008286805,0.275303644,0.333333333,7,5,3,FALSE,189,72,2,2,FALSE,0,189,5419659
3.76624487,0,0.265516459,0,7,2,1,FALSE,190,61,1,1,FALSE,0,190,0
3.765389877,0.184465345,0.265576748,0.333333333,7,5,3,FALSE,191,46,2,2,FALSE,0,191,50594059
2.977428181,0.729530718,0.335860326,0.219202899,6,35,17,FALSE,192,114.8333333,18,11,FALSE,0,192,522410247
3.565492476,0,0.280466165,1,6,4,2,FALSE,193,157,2,2,FALSE,0,193,0
3.890731874,0.15197011,0.257021052,0.166666667,7,6,3,FALSE,194,39.66666667,3,3,FALSE,0,194,76327347
3.588064295,0,0.278701806,0,6,2,1,FALSE,195,239,1,1,FALSE,0,195,0
4.381839945,0,0.228214634,0,7,2,1,FALSE,196,52,1,1,FALSE,0,196,0
3.18621751,11.92490321,0.313851768,0.046666667,6,95,50,FALSE,198,28.66666667,45,44,FALSE,0,198,4661067178
3.38372093,0.507061168,0.295532646,0.133333333,7,10,4,FALSE,199,63.16666667,6,4,FALSE,0,199,205094447
3.312927497,0.29747132,0.301847837,0.138888889,6,15,7,FALSE,200,68.44444444,8,6,FALSE,0,200,90521648
4.377051984,0.020805595,0.228464273,0,7,6,4,FALSE,201,32.25,2,2,FALSE,0,201,9557981
2.84746922,60.73050134,0.351189046,0.030450295,5,242,115,FALSE,202,32.2421875,127,114,FALSE,0,202,27660191944
3.503419973,0.889616754,0.285435377,0.111111111,6,19,9,FALSE,203,38.3,10,9,FALSE,0,203,376411646
3.205198358,6.814071975,0.311993171,0.055258467,6,55,31,FALSE,204,61.47058824,24,21,FALSE,0,204,2621454991
0,0,0,0,0,1,1,FALSE,205,75,0,0,FALSE,0,205,0
3.412106703,3.560365373,0.29307407,0.1125,6,30,15,FALSE,206,40.5,15,14,FALSE,0,206,1571586108
3.262824897,0.407468608,0.306482889,0.047619048,6,13,7,FALSE,207,77.42857143,6,6,FALSE,0,207,257024080
3.130813953,10.80202738,0.319405757,0.033333333,6,57,30,FALSE,209,38.19354839,27,26,FALSE,0,209,4347862418
3.588064295,0,0.278701806,0,6,2,1,FALSE,210,239,1,1,FALSE,0,210,0
3.21751026,4.081616219,0.31079932,0.380952381,6,11,6,FALSE,120,129.1428571,5,4,FALSE,0,120,1034978098
3.847298222,0.003551482,0.259922663,0,6,3,2,FALSE,211,71,1,1,FALSE,0,211,1742856
3.485636115,0.070123978,0.28689168,0.452380952,6,12,6,FALSE,212,82.71428571,6,5,FALSE,0,212,29890209
4.107216142,0,0.243473916,0,7,2,1,FALSE,213,75,1,1,FALSE,0,213,0
3.388337893,5.088172393,0.295129952,0.071428571,6,26,14,FALSE,214,41.78571429,12,12,FALSE,0,214,1628923191
2.783515732,18.25066724,0.359257894,0.093984962,6,107,53,FALSE,215,79.43859649,54,50,FALSE,0,215,8583208805
3.191347469,2.62633256,0.313347265,0.022222222,6,18,9,FALSE,216,74.7,9,8,FALSE,0,216,873233122
3.827633379,0.005406947,0.261258041,0.166666667,7,6,3,FALSE,217,57.25,3,2,FALSE,0,217,3468084
4.107216142,0,0.243473916,1,7,3,2,FALSE,218,85,1,1,FALSE,0,218,0
3.199726402,2.943056993,0.312526721,0.077075099,6,36,18,FALSE,219,53.30434783,18,13,FALSE,0,219,1174586067
0,0,0,0,0,1,1,FALSE,220,4,0,0,FALSE,0,220,0
0,0,0,0.281818182,0,11,11,FALSE,223,72.81818182,0,0,FALSE,0,223,0
3.369870041,2.050090641,0.296747349,0.178571429,7,15,7,FALSE,224,97.25,8,7,FALSE,0,224,838177899
3.333618331,0.966210339,0.299974352,0.066666667,6,9,3,FALSE,225,66.83333333,6,3,FALSE,0,225,269426304
3.330882353,0.122994842,0.300220751,0.2,6,12,6,FALSE,227,61,6,6,FALSE,0,227,87322398
3.237859097,2.940696084,0.308846052,0.057142857,6,27,13,FALSE,228,50.46666667,14,12,FALSE,0,228,897783874
3.796682627,2.229429011,0.26338783,0.045454545,6,37,32,FALSE,230,30.96969697,5,4,FALSE,0,230,1173672668
3.912790698,0.461880034,0.255572065,0,7,8,4,FALSE,231,24.8,4,3,FALSE,0,231,125162262
3.588064295,0,0.278701806,0,6,2,1,FALSE,232,239,1,1,FALSE,0,232,0
4.411935705,0.004450493,0.226657881,0,7,4,3,FALSE,233,46.33333333,1,1,FALSE,0,233,1848748
4.081053352,0.006881967,0.245034778,0,7,4,2,FALSE,208,63.5,2,2,FALSE,0,208,3936450
3.38372093,0.044147786,0.295532646,0,6,5,3,FALSE,234,125,2,2,FALSE,0,234,42191398
3.447674419,2.398747389,0.29005059,0.049450549,6,22,13,FALSE,235,37.21428571,9,8,FALSE,0,235,795214483
3.342339261,2.529181018,0.29919165,0.032051282,6,25,13,FALSE,222,35.92307692,12,12,FALSE,0,222,802651372
3.834302326,0.035433209,0.260803639,0,6,5,2,FALSE,236,49,3,2,FALSE,0,236,14783947
3.847298222,0,0.259922663,0,6,2,1,FALSE,237,128,1,1,FALSE,0,237,0
3.122948016,0.711092298,0.320210261,0.089285714,6,14,6,FALSE,238,120.25,8,6,FALSE,0,238,331980810
3.374316005,0.258638272,0.296356357,0.1,7,19,8,FALSE,239,38.36363636,11,8,FALSE,0,239,105358130
3.51504788,0.007289795,0.284491146,0.5,6,7,4,FALSE,240,119.5,3,3,FALSE,0,240,7743982
3.301812585,0.618621426,0.302863949,0.125,6,12,5,FALSE,241,82.625,7,4,FALSE,0,241,293000910
3.194254446,3.107105962,0.313062099,0.058823529,6,30,16,FALSE,242,60.55555556,14,12,FALSE,0,242,1123115014
3.872948016,0.144361991,0.258201245,0.133333333,7,9,5,FALSE,244,60,4,3,FALSE,0,244,53225763
3.884404925,1.269182052,0.25743969,0,7,9,4,FALSE,164,24.4,5,4,FALSE,0,164,544711775
3.990937073,1.545072639,0.250567719,0.281818182,7,15,11,FALSE,245,67.63636364,4,4,FALSE,0,245,482081554
3.170998632,0.438231859,0.315358067,0.2,7,8,5,FALSE,246,281.6,3,3,FALSE,0,246,394432775
3.388850889,0,0.295085276,0,6,2,1,FALSE,247,264,1,1,FALSE,0,247,0
3.405608755,0.299270592,0.29363326,0,7,5,2,FALSE,248,272.3333333,3,2,FALSE,0,248,88197911
4.106532148,0.032594729,0.24351447,0.333333333,7,5,3,FALSE,250,60.33333333,2,2,FALSE,0,250,10658438
3.001025992,3.018474965,0.333219373,0.291666667,6,17,9,FALSE,251,197.7777778,8,8,FALSE,0,251,1218762503
3.345588235,11.59083569,0.298901099,0.044736842,6,40,20,FALSE,249,28.9,20,20,FALSE,0,249,3636180044
3.313440492,1.458864525,0.301801104,0.108974359,6,21,9,FALSE,243,56.07692308,12,8,FALSE,0,243,491854821
4.107216142,0,0.243473916,0,7,2,1,FALSE,252,75,1,1,FALSE,0,252,0
4.381945632,0,0.22820913,0,8,1,0,FALSE,253,7,1,0,FALSE,0,253,0
3.42869357,0.070225212,0.291656276,0,6,3,1,FALSE,255,137,2,1,FALSE,0,255,37577026
3.120383037,7.379512376,0.320473477,0.04047619,6,65,33,FALSE,256,33.52777778,32,29,FALSE,0,256,2677271598
3.143125855,18.92220185,0.318154616,0.010862262,6,111,18,FALSE,257,12.96842105,93,16,FALSE,0,257,5988365364
3.752393981,0.112102454,0.266496537,0,7,4,2,FALSE,258,29,2,2,FALSE,0,258,43040546
4.198871409,0.005497621,0.238159234,0,7,5,2,FALSE,259,13,3,2,FALSE,0,259,2059992
0,0,0,0.333333333,0,3,3,FALSE,260,169.3333333,0,0,FALSE,0,260,0
3.347811218,1.942363108,0.298702625,0.107142857,6,15,8,FALSE,261,60.25,7,7,FALSE,0,261,497371077
3.933823529,0.275291013,0.254205607,0.095238095,7,13,7,FALSE,262,24.85714286,6,6,FALSE,0,262,203937205
4.229138167,0,0.236454795,1,7,4,2,FALSE,263,16,2,2,FALSE,0,263,0
0,0,0,1,0,2,2,FALSE,264,85,0,0,FALSE,0,264,0
3.592168263,0.044460791,0.278383396,0.35,6,8,5,FALSE,265,100.4,3,3,FALSE,0,265,12139029
3.236491108,4.956582985,0.308976594,0.065789474,6,35,17,FALSE,266,46.1,18,15,FALSE,0,266,1939575904
3.415184679,0,0.292809934,0,7,2,1,FALSE,267,795,1,1,FALSE,0,267,0
3.687585499,0.108541923,0.271180153,0.033333333,7,10,5,FALSE,268,38.83333333,5,4,FALSE,0,268,56574083
3.712038304,0.195926322,0.269393772,0.25,7,7,4,FALSE,229,57.5,3,3,FALSE,0,229,67915424
3.521545828,0.137506006,0.283966204,0.166666667,6,16,8,FALSE,221,43,8,7,FALSE,0,221,84725024
3.584473324,0.031794268,0.278981013,0.166666667,6,9,5,FALSE,269,75.16666667,4,3,FALSE,0,269,24169160
3.327291382,0.00416019,0.300544763,0.5,6,4,2,FALSE,271,196,2,2,FALSE,0,271,7807380
3.401162791,0.26802712,0.294017094,0.075757576,6,21,12,FALSE,272,57.41666667,9,9,FALSE,0,272,143892823
3.29753762,4.529725524,0.303256586,0.045566502,6,52,25,FALSE,273,33.55172414,27,23,FALSE,0,273,2045306514
3.163816689,4.04382875,0.316073938,0.070652174,6,38,21,FALSE,274,63.79166667,17,14,FALSE,0,274,1344339053
4.034199726,7.15E-04,0.247880638,0,7,3,2,FALSE,275,58.5,1,1,FALSE,0,275,586670
3.917065663,0.055796213,0.255293142,0.133333333,7,11,6,FALSE,276,42.5,5,5,FALSE,0,276,21964143
2.898426813,17.5972846,0.345014749,0.070153061,6,84,37,FALSE,270,61.16326531,47,35,FALSE,0,270,7213744322
3.898255814,0.003388128,0.256524981,0,7,3,2,FALSE,277,72,1,1,FALSE,0,277,1369615
4.107216142,0,0.243473916,1,7,3,2,FALSE,279,85,1,1,FALSE,0,279,0
3.792578659,1.356923962,0.263672844,0.3,6,7,4,FALSE,278,60.8,3,2,FALSE,0,278,590653662
2.808481532,20.92111427,0.356064296,0.044420941,6,117,58,FALSE,280,54.77419355,59,55,FALSE,0,280,8518097984
0,0,0,0,0,1,1,FALSE,281,62,0,0,FALSE,0,281,0
3.745896033,2.792397774,0.266958824,0,7,11,6,FALSE,282,23.33333333,5,5,FALSE,0,282,1194807334
3.395690834,1.016106109,0.294490885,0.071428571,6,28,15,FALSE,283,39.8,13,13,FALSE,0,283,330184142
3.548392613,1.162499056,0.281817744,0.044444444,7,18,8,FALSE,284,29.8,10,8,FALSE,0,284,327312910
3.488030096,1.155633444,0.286694774,0.3,6,12,6,FALSE,285,73.5,6,6,FALSE,0,285,393146847
3.83874829,0.009480991,0.260501581,0,6,4,2,FALSE,286,74,2,2,FALSE,0,286,5856035
4.120212038,0,0.242705956,0,7,2,1,FALSE,287,36,1,1,FALSE,0,287,0
3.543262654,0.302179866,0.282225761,0.160714286,6,14,7,FALSE,288,53.125,7,6,FALSE,0,288,137309448
3.783344733,0,0.264316384,0,7,2,1,FALSE,290,57,1,1,FALSE,0,290,0
4.990766074,0,0.20037004,0,8,2,1,FALSE,291,11,1,1,FALSE,0,291,0
3.847298222,0.005049807,0.259922663,0,6,3,2,FALSE,292,72,1,1,FALSE,0,292,3310087
